HEHOUSUT,HWHHWGT,GTMETSTA,HEFAMINC,HRNUMHOU,HRHTYPE,PRTAGE,PEMARITL,PENATVTY,PRINUSYR,PRHRUSL,HUBUS,PEMJOT,PEMJNUM,PEHRFTPT,PEHRACTT,PRAGNA,PRNMCHLD,PECYC,PECERT1,target,PRCITSHP_2,PRCITSHP_3,PRCITSHP_4,PRCITSHP_5,PEHRRSN2_1,PEHRRSN2_2,PEHRRSN2_3,PEHRRSN2_4,PEHRRSN2_5,PEHRRSN2_6,PEHRRSN2_7,PRMJIND1_2,PRMJIND1_3,PRMJIND1_4,PRMJIND1_5,PRMJIND1_6,PRMJIND1_7,PRMJIND1_8,PRMJIND1_9,PRMJIND1_10,PRMJIND1_11,PRMJIND1_12,PRMJIND1_13,PRMJOCC1_2,PRMJOCC1_3,PRMJOCC1_4,PRMJOCC1_5,PRMJOCC1_6,PRMJOCC1_7,PRMJOCC1_8,PRMJOCC1_9,PRMJOCC1_10,PESEX_2,PEEDUCA_40,PEEDUCA_41,PEEDUCA_42,PEEDUCA_43,PEEDUCA_44,PEEDUCA_45,PEEDUCA_46,PTDTRACE_1,PTDTRACE_3,PEHSPNON_2,population,case_delta,party,percent_red,pop_density
1,40182430,1,16,3,1,31,1,1,0,4,0,2,1,-1,8,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,26376142,1,15,3,1,53,1,1,0,4,1,2,1,-1,40,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,37961372,1,13,3,1,53,1,1,0,4,0,2,1,-1,40,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,38997054,1,15,4,1,35,1,1,0,4,0,2,1,-1,40,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,42003612,1,11,8,3,40,0,1,0,4,0,2,1,-1,-1,0,7,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,46493472,1,11,2,4,43,0,1,0,4,0,2,1,-1,40,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,22834451,1,7,1,7,69,0,1,0,4,0,2,1,-1,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,22834451,1,12,2,1,67,1,1,0,4,0,2,1,-1,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,22834451,1,9,1,7,65,0,1,0,4,0,2,1,-1,40,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
1,46489414,1,10,2,4,35,0,1,0,4,0,2,1,-1,36,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,4903185.0,57709.6064516129,1.0,62.08749296506342,95.0
