,state,fips,month,population,case_delta,party,percent_red
0,Washington,53,01,7614893,35503.27741935484,0,38.65866520461567
1,Illinois,17,01,12671821,134156.62688172044,0,41.28631825021405
2,California,6,01,39512223,339049.811827957,0,33.38862335004082
3,Arizona,4,01,7278717,128135.00215053764,1,48.95897259171085
4,Massachusetts,25,02,6892503,80271.87204301075,1,32.46046438102893
5,Wisconsin,55,02,5822434,39804.21720430107,0,48.82617689363946
6,Texas,48,02,28995881,289863.1516129032,1,52.15623775440202
7,Nebraska,31,02,1934408,20810.187096774192,1,58.52224503036556
8,Utah,49,02,3205958,29150.11075268817,1,58.42811319738775
9,Oregon,41,02,4217737,11910.006451612904,0,40.37829123482394
10,Florida,12,03,21477737,292035.7440860215,1,51.17356852917547
11,New York,36,03,19453561,198398.3301075269,0,42.91700845466055
12,Rhode Island,44,03,1059361,13751.426881720432,0,39.07771362289465
13,Georgia,13,03,10617423,107280.2247311828,1,49.268891704715436
14,New Hampshire,33,03,1359711,4934.370967741936,1,45.474386668243696
15,North Carolina,37,03,10488084,88199.46559139785,0,50.029986656532635
16,New Jersey,34,03,8882190,105423.90860215055,0,40.163976885453025
17,Colorado,8,03,5758736,30413.810752688172,0,42.080036506575375
18,Maryland,24,03,6045680,66238.85806451614,1,34.502607929113324
19,Nevada,32,03,3080156,29479.021505376346,0,47.58404162817033
20,Tennessee,47,03,6829174,64878.051612903226,1,60.65940617241482
21,Hawaii,15,03,1415872,833.7225806451612,0,34.25993371136212
22,Indiana,18,03,6732219,46541.41612903226,1,56.96887712843491
23,Kentucky,21,03,4467673,19898.75268817204,0,62.217285327695635
24,Minnesota,27,03,5639632,42620.13978494624,0,45.41565890866227
25,Oklahoma,40,03,3956971,21547.94301075269,1,65.37327184806296
26,Pennsylvania,42,03,12801989,76141.92795698924,0,49.0159625692835
27,South Carolina,45,03,5148714,60038.97096774193,1,55.09728823502758
28,Kansas,20,03,2913314,19566.360215053766,0,56.46054574205781
29,Missouri,29,03,6137428,29177.15053763441,1,56.86607547715106
30,Vermont,50,03,623989,617.4430107526882,1,31.735574479264834
31,Virginia,51,03,8535519,67724.23978494624,0,44.34001113821329
32,Connecticut,9,03,3565287,32287.017204301075,0,39.129957790319594
33,Iowa,19,03,3155070,34375.522580645156,1,53.13096061819375
34,Louisiana,22,03,4648794,66130.97956989247,0,58.46749200775824
35,Ohio,39,03,11689100,61528.382795698926,1,53.24306041452148
36,Michigan,26,03,9986857,52826.11505376344,0,47.86201334806406
37,South Dakota,46,03,884659,6537.3,1,61.774684275027326
38,Arkansas,5,03,3017804,29582.88064516129,1,62.560793808112635
39,Delaware,10,03,973764,10982.860215053763,0,39.78172075543807
40,Mississippi,28,03,2976149,37603.66559139785,1,59.51828231884866
41,New Mexico,35,03,2096829,14615.140860215053,0,43.613293721804794
42,North Dakota,38,03,762062,4334.60752688172,1,65.03616318689987
43,Wyoming,56,03,578759,1697.6376344086023,1,69.95819591506104
44,Alaska,2,03,731545,1907.3430107526879,1,61.41638548735641
45,Maine,23,03,1344212,2868.7333333333336,0,43.44506593720655
46,Alabama,1,03,4903185,57709.606451612904,1,62.08749296506342
47,Idaho,16,03,1787065,11769.218279569892,1,63.829206275324864
48,Montana,30,03,1068778,1907.4,0,56.69808237540583
49,West Virginia,54,03,1792147,3988.758064516129,1,68.63625494156615
